$WEATHER,DATA,:,Point,"Coupee,",LA,,
,,,,,,,
INSI,LAT,LONG,ELEV,TAV,AMP,REFHT,WNDHT
UFPC,30.61,-91.6,14,19.9,18,-99,-99
DATE,SRAD,TMAX,TMIN,RAIN,,,
1984001,12.6,7.8,-7.2,0,,,
1984002,11.1,13.9,-6.7,0,,,
1984003,12.6,15.6,-1.1,0,,,
1984004,12.4,13.9,-1.1,0,,,
1984005,12.7,20,-0.6,0,,,
1984006,12.1,19.4,1.1,0,,,
1984007,10.2,22.8,2.2,0,,,
1984008,13.1,17.2,2.2,0,,,
1984009,3.3,20,2.8,0,,,
1984010,4.8,18.3,10.6,33.5,,,
1984011,13.7,11.1,-2.8,0,,,
1984012,11,8.3,-2.8,0,,,
1984013,6.6,13.9,-1.1,0.5,,,
1984014,6.9,12.2,6.7,3.3,,,
1984015,12,9.4,3.9,12.4,,,
1984016,3.9,6.7,2.2,0,,,
1984017,10.6,9.4,2.2,1.3,,,
1984018,3.7,6.7,2.8,16.3,,,
1984019,14.7,5.6,-5,12.2,,,
1984020,10.6,2.8,-5.6,0,,,
1984021,15.3,5,-5,0,,,
1984022,11.2,6.7,-5,0,,,
1984023,3.8,11.7,-3.9,7.4,,,
1984024,3.1,15.6,6.7,2.5,,,
1984025,8.5,15,7.2,10.4,,,
1984026,12.8,12.8,2.2,0,,,
1984027,15.6,14.4,-1.1,0,,,
1984028,12.1,18.9,-1.1,0,,,
1984029,15.7,16.1,1.1,1.5,,,
1984030,15.1,21.7,2.2,0,,,
1984031,14.3,15.6,0,0,,,
1984032,11.9,12.8,-0.6,0,,,
1984033,12.1,15.6,-0.6,0,,,
1984034,12.4,20,0,11.4,,,
1984035,17.2,17.8,0,0,,,
1984036,17.1,18.3,-0.6,0,,,
1984037,17.1,15,-3.3,0,,,
1984038,17.1,7.2,-4.4,0,,,
1984039,16.3,14.4,-3.3,0,,,
1984040,7.5,16.1,0.6,0,,,
1984041,10.8,20,7.2,22.9,,,
1984042,10.3,23.9,16.1,0,,,
1984043,4.6,24.4,16.7,3,,,
1984044,18.3,20.6,10,40.9,,,
1984045,18.5,20.6,5,0,,,
1984046,14.8,23.3,5.6,0,,,
1984047,18.6,22.8,7.2,17.8,,,
1984048,18.5,23.9,8.9,0,,,
1984049,12.7,24.4,7.2,0,,,
1984050,10.3,26.7,13.3,0.8,,,
1984051,6.5,17.2,10,0.5,,,
1984052,17.8,11.7,6.1,5.6,,,
1984053,19,16.1,3.9,0,,,
1984054,19.3,18.3,2.2,0,,,
1984055,20.2,22.8,7.2,0,,,
1984056,20.3,21.1,5,0,,,
1984057,5,20.6,7.2,0,,,
1984058,2.9,19.4,8.3,52.3,,,
1984059,14,10,3.3,0.5,,,
1984060,21.9,6.7,-0.6,0,,,
1984061,19.3,10.6,-2.2,0,,,
1984062,11.6,15,2.2,0,,,
1984063,15.2,19.4,8.9,0,,,
1984064,10.4,23.9,11.7,0,,,
1984065,4.4,22.2,10,7.6,,,
1984066,11.8,23.3,5.6,6.4,,,
1984067,20.7,12.2,-1.7,0,,,
1984068,20.3,16.7,0.6,0,,,
1984069,20.3,21.1,7.2,0,,,
1984070,17,18.3,5.6,0,,,
1984071,17.6,20,7.8,0,,,
1984072,5.8,21.7,10,0,,,
1984073,16.4,23.9,12.2,7.6,,,
1984074,13.6,25,13.3,0,,,
1984075,14.2,26.7,15.6,0,,,
1984076,15,26.7,16.7,0,,,
1984077,15.3,28.3,14.4,0,,,
1984078,19.7,26.7,13.3,0,,,
1984079,4.4,26.7,16.1,0,,,
1984080,19.6,23.3,5.6,38.6,,,
1984081,22.3,15,5,0,,,
1984082,20.3,21.7,7.2,0,,,
